median value,1.729,168.34,,,,,
MSE,0.067,19.34,,,,,
mean,1.715,182.779,,,,,
std,0.089,42.866,,,,,
cellname,Center surround ratio,surround size (um),fit MSE,notes,Model SS,Real SS,Error in SS
060322Ac2,1.80,149,0.023,,18,21,4
091217Bc2,1.62,168,0.015,,23,30,6
090617Bc2,1.73,231,0.006,,35,32,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
